id,bank_name,country,domain,port,ip,reachable,tls_version,cipher_suite,key_exchange_group,key_exchange_class,pqc_status,pqc_key_exchange,pqc_signature,is_hybrid,pqc_confidence,certificate_subject,certificate_issuer,certificate_signature_algorithm,certificate_public_key_algorithm,certificate_public_key_size,certificate_not_after,certificate_days_remaining,certificate_expired,certificate_self_signed,certificate_sha256,hsts,risk_score,risk_grade,findings,recommendation,scan_timestamp
67,Julius Baer,CH,juliusbaer.com,443,193.223.56.121,True,TLSv1.3,TLS_AES_128_GCM_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.juliusbaer.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Jan 15 23:59:59 2027 GMT,146,False,False,95c683fb389478e744f1914cbed9fa07df38ab88783887da56fc533398f00c49,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:36:50Z
68,Standard Bank,ZA,standardbank.co.za,443,104.17.173.38,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,standardbank.co.za,YE1,sha256WithRSAEncryption (estimated),RSA,2048,Oct 18 16:04:25 2026 GMT,57,False,False,10aba5ff2a885d55b15af17edbe7fba691e9fb5be14e7408012d54a4e84b0061,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:52Z
69,Absa Bank,ZA,absa.co.za,443,178.79.178.218,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,*.absa.co.za,YR1,sha256WithRSAEncryption (estimated),RSA,2048,Oct 20 12:37:53 2026 GMT,59,False,False,27cf4f5f084c682a087bdd5e9da921efea681b5ed610f76f30ae23a0793d61e1,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:36:54Z
70,Nedbank,ZA,nedbank.co.za,443,168.142.204.15,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.nedbank.co.za,HydrantID Server CA O1,sha256WithRSAEncryption (estimated),RSA,2048,Sep 24 06:05:48 2026 GMT,33,False,False,96237a2150f60ab00cb935679e3cde096211780845a3035c85daddf09fe072ef,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:01Z
71,Capitec Bank,ZA,capitecbank.co.za,443,217.114.94.2,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,capitecbank.co.za,WE1,sha256WithRSAEncryption (estimated),RSA,2048,Oct  5 16:35:32 2026 GMT,44,False,False,3c86f2f313d7fd82ffa3c301e2faa0628d0daf5bbf46722b9d9bf940fdcb6d51,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:37:02Z
72,Bank of China,CN,bankofchina.com,443,36.102.224.176,True,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.bankofchina.com,DigiCert Secure Site Pro EV G2 TLS CN RSA4096 SHA256 2022 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Nov 17 23:59:59 2026 GMT,87,False,False,f001ef43e4f937168df488ded8d18fd7e3568fd00739b113292c87cc45d97329,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:11Z
73,Industrial and Commercial Bank of China,CN,icbc-ltd.com,443,163.171.204.61,True,TLSv1.3,TLS_AES_128_GCM_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.icbc-ltd.com,DigiCert Secure Site Pro G2 TLS CN RSA4096 SHA256 2022 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Feb  8 23:59:59 2027 GMT,170,False,False,b8645f8c25404a9f825eb8c19c2b9193a4b6031b2728da768837a52a3b3f7d79,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:14Z
74,China Construction Bank,CN,ccb.com,443,106.37.193.78,False,Unknown,,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,Unknown,False,UNKNOWN,,,,,,,,False,False,,False,0,F,🔴 CRITICAL — Endpoint unreachable: TLS error: UNSAFE_LEGACY_RENEGOTIATION_DISABLED,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:17Z
75,Guaranty Trust Bank,NG,gtbank.com,443,45.60.52.99,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,imperva.com,GlobalSign Atlas R46 DV TLS CA 2026 Q2,sha256WithRSAEncryption (estimated),RSA,2048,Sep 14 18:24:33 2026 GMT,23,False,False,d142919d2c9e524e57ecdea838ef374118de3a1c05033d0d8d2059fd23668f8e,True,86,A,🟡 MEDIUM — Certificate expires in 23 days; 🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:37:20Z
76,MUFG Bank,JP,mufg.jp,443,23.9.221.79,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.mufg.jp,Cybertrust Japan SureServer EV CA G3,sha256WithRSAEncryption (estimated),RSA,2048,Oct 31 14:59:00 2026 GMT,70,False,False,dd70a3d3bd9c4254179554e4b51558adf771bf4e5b745e9ecab678bb76662d36,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:37:22Z
77,Mizuho Bank,JP,mizuho-fg.co.jp,443,23.57.240.112,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.mizuho-fg.co.jp,Cybertrust Japan SureServer EV CA G3,sha256WithRSAEncryption (estimated),RSA,2048,Dec 31 14:59:00 2026 GMT,131,False,False,094c31414101a124370acc556424960737a16281ffe4a7c1691a230924f11c7f,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:37:23Z
78,SMBC Bank,JP,smbc.co.jp,443,23.57.203.54,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.smbc.co.jp,Cybertrust Japan SureServer EV CA G3,sha256WithRSAEncryption (estimated),RSA,2048,Sep 25 14:59:00 2026 GMT,34,False,False,18365aed3895cd01f86a4c751fc08d11670e4d36ad4671ebce6a4720fd514969,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:37:26Z
79,DBS Bank,SG,dbs.com.sg,443,110.4.47.190,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,dbs.com.sg,YR2,sha256WithRSAEncryption (estimated),RSA,2048,Oct  4 10:31:20 2026 GMT,43,False,False,974902f0a163bb11f1e6bef8720fa9da975248567bd3d2fe3ce5382fc093e0ec,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:28Z
80,OCBC Bank,SG,ocbc.com,443,203.126.194.28,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.ocbc.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Feb 20 23:59:59 2027 GMT,182,False,False,58720be93a0902692fec179d99a0e2301d4ff832efcfcb4cdc7e9f5336865eea,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:30Z
81,United Overseas Bank,SG,uob.com.sg,443,42.61.47.40,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.uobgroup.com,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Dec 15 02:41:22 2026 GMT,114,False,False,95008f0b2908f28ada668ed8b5a82923093ad0e6e3df4611d26ed2e9fb0d9f93,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:32Z
82,Maybank,MY,maybank.com,443,45.60.126.208,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,maybank.com,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Feb 23 06:51:11 2027 GMT,185,False,False,5ff1076e90cafcc9626f3f27f55b51a4886ce4e8c025499131e19b22abdc05e0,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:37:34Z
83,CIMB Bank,MY,cimb.com,443,210.19.115.31,True,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.cimb.com,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Dec 25 03:31:23 2026 GMT,124,False,False,6b351feea1ae1b910a097d397aaf894f92f64d3a7078ce1ed49c2ef0bc1ae9cc,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:37:37Z
84,Kasikornbank,TH,kasikornbank.com,443,23.212.5.75,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.kasikornbank.com,DigiCert Global G3 TLS ECC SHA384 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Nov  4 23:59:59 2026 GMT,74,False,False,5181a1736ec2f522936778413f188f780ad3d9cd5536f0cc909a6f630047903c,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:37:59Z
85,Bangkok Bank,TH,bangkokbank.com,443,23.212.5.64,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,bangkokbank.com,DigiCert Global G3 TLS ECC SHA384 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Feb  2 23:59:59 2027 GMT,164,False,False,6a7ed1218c074237b052e289cde0cca07fa18fa83d23f9f533255c3e63699ce3,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:38:51Z
86,Commonwealth Bank,AU,commbank.com.au,443,162.159.141.172,True,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.commbank.com.au,Sectigo Public Server Authentication CA EV R36,sha256WithRSAEncryption (estimated),RSA,2048,Jan  8 23:59:59 2027 GMT,139,False,False,5c2df06da34f51af21394dc53f9c314d1bc4f053e2553506e3310c2f47f25478,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:38:53Z
87,National Australia Bank,AU,nab.com.au,443,23.55.106.90,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,nab.com.au,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Jan 13 23:59:59 2027 GMT,144,False,False,9c7efb7390b7abf3d856825bd0ea89c50ae388384c01428eba1fc7b4ccaee76d,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:38:54Z
88,ANZ,AU,anz.com,443,45.60.124.46,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,anz.com,GlobalSign Atlas R46 DV TLS CA 2026 Q2,sha256WithRSAEncryption (estimated),RSA,2048,Oct 15 11:06:11 2026 GMT,54,False,False,022881fdf0033b9020d523c56d7370adb0f3368c971fd1211251d6207f7b48d0,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:38:57Z
89,Westpac,AU,westpac.com.au,443,54.192.142.70,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.westpac.com.au,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Oct  3 23:59:59 2026 GMT,42,False,False,76ca3757ed93341c46858a647daa0c4ce7e56dc027e0dfdc9fca52e64874c168,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:38:58Z
90,Emirates NBD,AE,emiratesnbd.com,443,194.164.220.51,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,Emiratesnbd.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Oct 23 23:59:59 2026 GMT,62,False,False,3d556a3ab7f77fff58e50306de7143f69b49ad6588e6aae6d3eb74d924dfae39,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:39:01Z
91,Abu Dhabi Commercial Bank,AE,adcb.com,443,45.15.172.110,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,adcb.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Nov 21 23:59:59 2026 GMT,91,False,False,01e420b488f012fedddbda733a298073885f4ac86fb55e33ad68e7c4be973fa6,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:39:04Z
92,Mashreq,AE,mashreq.com,443,87.201.244.220,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,mashreq.com,Thawte TLS RSA CA G1,sha256WithRSAEncryption (estimated),RSA,2048,Sep 24 23:59:59 2026 GMT,33,False,False,496a415b4a7cce74c835e2750e26a42be9a7d17acf76e3fed332d1903f257398,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:39:06Z
93,Qatar National Bank,QA,qnb.com,443,104.19.255.115,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.qnb.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Oct 22 23:59:59 2026 GMT,61,False,False,7fdb8591a3888d2012b086677f06e6167aa5ddac199b59c4859528f6df70d771,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:39:07Z
94,Riyad Bank,SA,riyadbank.com,443,195.85.224.14,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.riyadbank.com,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Dec 18 23:59:59 2026 GMT,118,False,False,8577c888e47106a38e2bf4410a4aa25045859b04e38808a7d48c5c945df6a400,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:39:12Z
95,Al Rajhi Bank,SA,alrajhibank.com.sa,443,158.101.252.178,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.alrajhibank.com.sa,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Jan 23 23:59:59 2027 GMT,154,False,False,95013d5d625195bcd9a999049d9d0abd04c036462478f0896e7bd7f3573f5ca4,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:39:16Z
96,Bank Muscat,OM,bankmuscat.com,443,185.64.25.58,True,TLSv1.3,TLS_AES_128_GCM_SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,bankmuscat.com,DigiCert EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Sep 16 23:59:59 2026 GMT,25,False,False,7bef1a52badb6995fe7e301c2b26587049408b0911fad1c0eea1064bbf63ba89,False,87,A,🟡 MEDIUM — Certificate expires in 25 days; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:39:19Z
97,Bancolombia,CO,bancolombia.com,443,45.60.241.99,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.bancolombia.com,GlobalSign GCC R3 EV TLS CA 2025,sha256WithRSAEncryption (estimated),RSA,2048,Apr  5 14:01:16 2027 GMT,226,False,False,e07952b5927c45721d3215bba7fdc9deba6258ac1e405bfb088ce0ca407e40c4,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:39:23Z
98,Itau Unibanco,BR,itau.com.br,443,23.223.245.36,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.itau.com.br,DigiCert Global G3 TLS ECC SHA384 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Nov 13 23:59:59 2026 GMT,83,False,False,20f01e46fb449a11ae63e1b02f93f977a148f8cc6de8b7b4c0bf0781cbc80efc,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:39:25Z
99,Bradesco,BR,bradesco.com.br,443,23.212.5.82,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.bradesco.com.br,DigiCert Global G2 TLS RSA SHA256 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Oct 22 23:59:59 2026 GMT,61,False,False,818c231cf2009638517c65fbed76eea79d99e39ca7c1b15ecde51182b121348b,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:39:26Z
100,Santander Brasil,BR,santander.com.br,443,23.54.118.51,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,santander.com.br,DigiCert Global G3 TLS ECC SHA384 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Feb 25 23:59:59 2027 GMT,187,False,False,b2be32929974bb1dac8b840975d120ce8931ed8c9de47e596889e637cfc9ee15,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:39:28Z
