id,bank_name,country,domain,port,ip,reachable,tls_version,cipher_suite,key_exchange_group,key_exchange_class,pqc_status,pqc_key_exchange,pqc_signature,is_hybrid,pqc_confidence,certificate_subject,certificate_issuer,certificate_signature_algorithm,certificate_public_key_algorithm,certificate_public_key_size,certificate_not_after,certificate_days_remaining,certificate_expired,certificate_self_signed,certificate_sha256,hsts,risk_score,risk_grade,findings,recommendation,scan_timestamp
21,RBL Bank,IN,rblbank.com,443,96.17.182.158,True,TLSv1.3,TLS_AES_256_GCM_SHA384,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,*.rblbank.com,DigiCert Global G3 TLS ECC SHA384 2020 CA1,sha256WithRSAEncryption (estimated),RSA,2048,Nov  1 23:59:59 2026 GMT,71,False,False,ce6c90df382d85b43cf40b73f785649d44e4ac89db413572f52cf28a049ad29f,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:14Z
22,South Indian Bank,IN,southindianbank.com,443,104.19.241.50,False,Unknown,,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,Unknown,False,UNKNOWN,,,,,,,,False,False,,True,0,F,🔴 CRITICAL — Endpoint unreachable: TLS error: CERTIFICATE_VERIFY_FAILED,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:15Z
23,Karur Vysya Bank,IN,kvb.bank.in,443,45.223.136.53,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,www.kvb.bank.in,Sectigo Public Server Authentication CA EV R36,sha256WithRSAEncryption (estimated),RSA,2048,Oct 21 23:59:59 2026 GMT,60,False,False,1de2eee4edef13fbf1ceb705acce4b2fa9f9bcb7dd34e0115caa4ec1c253b3e4,True,94,A+,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:18Z
24,City Union Bank,IN,cityunionbank.com,443,125.17.14.211,True,TLSv1.2,ECDHE-RSA-AES256-GCM-SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,cityunionbank.com,GlobalSign GCC R46 EV TLS CA 2025,sha256WithRSAEncryption (estimated),RSA,2048,Feb 25 06:26:55 2027 GMT,187,False,False,f4c12a2099de83079c93b50961d8dc52ecc518e7a397b7c80e68a641a2b3d5b4,True,92,A+,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:20Z
25,Dhanlaxmi Bank,IN,dhanbank.com,443,159.60.134.37,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.dhanbank.com,GlobalSign GCC R46 OV TLS CA 2025,sha256WithRSAEncryption (estimated),RSA,2048,Feb 15 12:36:31 2027 GMT,177,False,False,1f492b38cadaf0c0643374a084a6313c4532dd1fe6b37bde416bab2d28100b54,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:22Z
26,Tamilnad Mercantile Bank,IN,tmbnet.in,443,15.197.225.128,True,TLSv1.3,TLS_AES_128_GCM_SHA256,X25519MLKEM768,HYBRID_PQC,HYBRID_PQC,X25519MLKEM768,RSA,True,HIGH,tmbnet.in,GoDaddy TLS Intermediate CA DV - R1v1,sha256WithRSAEncryption (estimated),RSA,2048,Jan 10 15:39:41 2027 GMT,141,False,False,33312148348045712d220fe1c13c8b2eb901269adf3c53c50183a803b59d13e3,False,89,A,🟡 MEDIUM — Hybrid PQC transition still depends on classical key exchange; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated),Hybrid PQC in place; monitor for full PQC KEM rollout once ecosystem support matures.,2026-08-22T03:34:24Z
27,Karnataka Bank,IN,karnatakabank.com,443,159.60.135.75,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,karnatakabank.com,GlobalSign GCC R3 EV TLS CA 2025,sha256WithRSAEncryption (estimated),RSA,2048,Jan 11 11:26:02 2027 GMT,142,False,False,12152cfc43450948313374f46d2b1302ecbbad5883ff95d2bf2a632dc0cbe964,False,95,A+,🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:26Z
28,CSB Bank,IN,csb.co.in,443,66.22.97.83,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,www.csb.bank.in,Thawte EV RSA CA G2,sha256WithRSAEncryption (estimated),RSA,2048,Sep 23 23:59:59 2026 GMT,32,False,False,601cf7ef34592d6fba5ee54f13609c51004615aa7aabd5430946661c6e14bce2,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:27Z
29,Jammu and Kashmir Bank,IN,jkb.bank.in,443,49.50.117.180,True,TLSv1.3,TLS_AES_256_GCM_SHA384,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,jkb.bank.in,GlobalSign RSA OV SSL CA 2018,sha256WithRSAEncryption (estimated),RSA,2048,Sep 24 08:56:01 2026 GMT,33,False,False,a6360b0469626451f8ba0dc6a4ec6428c43fa9768b6d1f7664890a897658096c,True,100,A+,🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:29Z
30,Bandhan Bank,IN,bandhanbank.com,443,223.31.168.148,True,TLSv1.2,ECDHE-RSA-AES128-GCM-SHA256,Unknown,NOT_VERIFIED,NOT_VERIFIED,Unknown,RSA,False,UNKNOWN,*.bandhanbank.com,EM DV TLS CA - G2A-1,sha256WithRSAEncryption (estimated),RSA,2048,Oct  1 05:05:44 2026 GMT,40,False,False,081b0aa3b1556ce4edef381c1785c851d12bee2bf2e6a64a9366ffff58d8b1e9,False,87,A,🟡 MEDIUM — TLS 1.2 detected; acceptable but not PQC-ready; 🟡 MEDIUM — HSTS header missing; 🟡 MEDIUM — Classical certificate signature detected: sha256WithRSAEncryption (estimated); 🟡 MEDIUM — TLS key-exchange group could not be independently verified; PQC assessment requires verification.,Re-run verification with OpenSSL CLI available; PQC posture cannot be assessed from this scan alone.,2026-08-22T03:34:31Z
